iter	Passed	Remaining
377	1081	1779
378	1083	1775
379	1085	1770
380	1087	1766
381	1090	1763
382	1092	1760
383	1095	1757
384	1097	1753
385	1099	1749
386	1101	1745
387	1104	1741
388	1105	1737
389	1108	1733
390	1110	1729
391	1112	1725
392	1114	1721
393	1116	1717
394	1119	1714
395	1122	1711
396	1125	1709
397	1127	1705
398	1129	1701
399	1132	1699
400	1135	1696
401	1138	1693
402	1140	1689
403	1144	1687
404	1146	1684
405	1148	1680
406	1150	1676
407	1152	1672
408	1155	1669
409	1157	1665
410	1159	1662
411	1161	1658
412	1164	1654
413	1166	1650
414	1168	1646
415	1170	1643
416	1173	1640
417	1176	1637
418	1179	1634
419	1182	1632
420	1184	1629
421	1187	1625
422	1189	1622
423	1191	1619
424	1194	1615
425	1196	1612
426	1199	1609
427	1201	1605
428	1204	1603
429	1206	1599
430	1209	1596
431	1211	1593
432	1214	1589
433	1216	1585
434	1218	1582
435	1221	1580
436	1223	1576
437	1226	1574
438	1229	1571
439	1232	1568
440	1234	1564
441	1236	1561
442	1239	1558
443	1241	1554
444	1243	1551
445	1245	1547
446	1247	1543
447	1249	1540
448	1252	1536
449	1254	1533
450	1256	1529
451	1259	1526
452	1261	1523
453	1263	1519
454	1265	1516
455	1267	1512
456	1270	1509
457	1273	1507
458	1276	1504
459	1278	1500
460	1281	1497
461	1283	1494
462	1285	1491
463	1288	1488
464	1290	1484
465	1293	1481
466	1296	1479
467	1298	1475
468	1300	1472
469	1303	1469
470	1305	1465
471	1307	1462
472	1310	1459
473	1312	1456
474	1314	1453
475	1317	1450
476	1320	1447
477	1322	1444
478	1324	1441
479	1327	1438
480	1330	1435
481	1333	1433
482	1336	1430
483	1339	1427
484	1341	1424
485	1344	1421
486	1347	1419
487	1350	1416
488	1352	1413
489	1355	1410
490	1357	1407
491	1360	1404
492	1362	1401
493	1364	1398
494	1367	1394
495	1369	1391
496	1371	1388
497	1374	1385
498	1376	1381
499	1379	1379
500	1381	1375
501	1383	1372
502	1385	1369
503	1387	1365
504	1390	1363
505	1392	1359
506	1395	1356
507	1397	1353
508	1399	1350
509	1402	1347
510	1405	1345
511	1408	1342
512	1410	1338
513	1412	1335
514	1414	1332
515	1416	1329
516	1419	1325
517	1421	1322
518	1423	1319
519	1426	1316
520	1428	1313
521	1430	1309
522	1432	1306
523	1435	1303
524	1437	1300
525	1440	1297
526	1442	1294
527	1444	1291
528	1446	1287
529	1448	1284
530	1451	1281
531	1453	1278
532	1455	1275
533	1457	1271
534	1459	1268
535	1461	1265
536	1463	1262
537	1466	1259
538	1469	1256
539	1471	1253
540	1473	1250
541	1476	1247
542	1478	1244
543	1480	1240
544	1482	1237
545	1484	1234
546	1487	1231
547	1489	1228
548	1491	1225
549	1493	1222
550	1496	1219
551	1498	1216
552	1500	1213
553	1503	1210
554	1505	1207
555	1508	1204
556	1510	1201
557	1512	1198
558	1514	1195
559	1516	1191
560	1518	1188
561	1521	1185
562	1523	1182
563	1525	1179
564	1528	1176
565	1530	1173
566	1532	1170
567	1534	1167
568	1537	1164
569	1539	1161
570	1541	1158
571	1543	1154
572	1546	1152
573	1548	1149
574	1550	1146
575	1552	1143
576	1555	1140
577	1557	1137
578	1559	1134
579	1562	1131
580	1564	1128
581	1566	1125
582	1569	1122
583	1572	1119
584	1574	1116
585	1576	1113
586	1579	1110
587	1581	1108
588	1583	1105
589	1585	1101
590	1588	1099
591	1590	1096
592	1592	1092
593	1596	1091
594	1600	1089
595	1605	1088
596	1610	1087
597	1617	1087
598	1623	1087
599	1629	1086
600	1634	1084
601	1638	1083
602	1644	1082
603	1649	1081
604	1653	1079
605	1657	1077
606	1661	1075
607	1665	1073
608	1669	1071
609	1675	1070
610	1681	1070
611	1686	1069
612	1692	1068
613	1697	1067
614	1702	1065
615	1707	1064
616	1711	1062
617	1717	1061
618	1721	1059
619	1726	1057
620	1730	1056
621	1735	1054
622	1742	1054
623	1750	1054
624	1755	1053
625	1763	1053
626	1769	1052
627	1775	1051
628	1780	1050
629	1785	1048
630	1789	1046
631	1795	1045
632	1801	1044
633	1807	1043
634	1811	1041
635	1817	1040
636	1825	1040
637	1835	1041
638	1848	1044
639	1855	1043
640	1862	1042
641	1870	1042
642	1880	1044
643	1885	1042
644	1895	1043
645	1906	1044
646	1919	1047
647	1929	1048
648	1940	1049
649	1949	1049
650	1962	1052
651	1968	1050
652	1973	1048
653	1977	1045
654	1984	1045
655	1992	1044
656	2001	1045
657	2007	1043
658	2014	1042
659	2020	1041
660	2026	1039
661	2035	1039
662	2041	1037
663	2047	1036
664	2053	1034
665	2058	1032
666	2064	1030
667	2070	1029
668	2076	1027
669	2084	1026
670	2089	1024
671	2091	1020
672	2094	1017
673	2096	1013
674	2099	1011
675	2102	1007
676	2105	1004
677	2108	1001
678	2110	997
679	2113	994
680	2115	990
681	2117	987
682	2119	983
683	2121	980
684	2123	976
685	2126	973
686	2128	969
687	2130	966
688	2133	963
689	2136	959
690	2139	956
691	2143	954
692	2148	951
693	2151	948
694	2153	944
695	2155	941
696	2157	937
697	2160	934
698	2162	931
699	2164	927
700	2166	924
701	2168	920
702	2171	917
703	2173	913
704	2175	910
705	2177	906
706	2180	903
707	2182	900
708	2184	896
709	2186	893
710	2189	889
711	2191	886
712	2193	882
713	2195	879
714	2197	875
715	2199	872
716	2201	869
717	2203	865
718	2206	862
719	2208	858
720	2210	855
721	2212	851
722	2214	848
723	2216	845
724	2219	841
725	2221	838
726	2223	834
727	2225	831
728	2227	828
729	2229	824
730	2232	821
731	2234	818
732	2236	814
733	2238	811
734	2240	807
735	2242	804
736	2244	801
737	2246	797
738	2249	794
739	2251	790
740	2253	787
741	2255	784
742	2257	780
743	2259	777
744	2262	774
745	2264	771
746	2267	767
747	2269	764
748	2271	761
749	2273	757
750	2275	754
751	2277	751
752	2280	747
753	2283	744
754	2285	741
755	2287	738
756	2289	734
757	2292	732
758	2295	728
759	2297	725
760	2299	722
761	2301	718
762	2303	715
763	2306	712
764	2308	709
765	2310	705
766	2312	702
767	2314	699
768	2317	696
769	2319	692
770	2322	689
771	2325	686
772	2327	683
773	2329	680
774	2332	677
775	2334	673
776	2336	670
777	2338	667
778	2341	664
779	2343	660
780	2345	657
781	2347	654
782	2350	651
783	2352	648
784	2354	644
785	2356	641
786	2358	638
787	2360	634
788	2362	631
789	2364	628
790	2366	625
791	2368	622
792	2371	618
793	2373	615
794	2376	612
795	2378	609
796	2381	606
797	2384	603
798	2386	600
799	2388	597
800	2390	593
801	2392	590
802	2394	587
803	2397	584
804	2401	581
805	2403	578
806	2406	575
807	2410	572
808	2414	570
809	2418	567
810	2421	564
811	2426	561
812	2429	558
813	2433	556
814	2437	553
815	2441	550
816	2444	547
817	2448	544
818	2451	541
819	2455	538
820	2459	536
821	2462	533
822	2466	530
823	2470	527
824	2474	524
825	2476	521
826	2479	518
827	2482	515
828	2485	512
829	2488	509
830	2492	506
831	2495	503
832	2498	500
833	2501	497
834	2503	494
835	2506	491
836	2509	488
837	2512	485
838	2516	482
839	2519	479
840	2522	476
841	2524	473
842	2528	470
843	2531	467
844	2534	464
845	2537	461
846	2541	459
847	2544	456
848	2548	453
849	2551	450
850	2555	447
851	2558	444
852	2562	441
853	2565	438
854	2568	435
855	2573	432
856	2578	430
857	2581	427
858	2584	424
859	2587	421
860	2591	418
861	2594	415
862	2596	412
863	2599	409
864	2602	406
865	2605	403
866	2608	400
867	2611	397
868	2614	394
869	2617	391
870	2619	388
871	2622	384
872	2624	381
873	2626	378
874	2628	375
875	2631	372
876	2634	369
877	2636	366
878	2638	363
879	2640	360
880	2645	357
881	2690	360
882	2694	356
883	2697	353
884	2699	350
885	2701	347
886	2703	344
887	2706	341
888	2708	338
889	2711	335
890	2713	331
891	2716	328
892	2718	325
893	2720	322
894	2722	319
895	2725	316
896	2727	313
897	2729	310
898	2731	306
899	2733	303
900	2735	300
901	2738	297
902	2740	294
903	2743	291
904	2747	288
905	2749	285
906	2751	282
907	2754	279
908	2756	275
909	2758	272
910	2760	269
911	2762	266
912	2766	263
913	2770	260
914	2800	260
915	2803	257
916	2806	254
917	2808	250
918	2811	247
919	2813	244
920	2816	241
921	2818	238
922	2821	235
923	2824	232
924	2826	229
925	2828	226
926	2830	222
927	2833	219
928	2835	216
929	2837	213
930	2839	210
931	2841	207
932	2844	204
933	2847	201
934	2849	198
935	2851	195
936	2854	191
937	2856	188
938	2859	185
939	2861	182
940	2863	179
941	2866	176
942	2868	173
943	2871	170
944	2873	167
945	2875	164
946	2877	161
947	2879	157
948	2881	154
949	2883	151
950	2885	148
951	2887	145
952	2890	142
953	2892	139
954	2894	136
955	2896	133
956	2898	130
957	2900	127
958	2902	124
959	2904	121
960	2906	117
961	2908	114
962	2911	111
963	2913	108
964	2916	105
965	2918	102
966	2920	99
967	2923	96
968	2926	93
969	2928	90
970	2931	87
971	2934	84
972	2936	81
973	2939	78
974	2942	75
975	2944	72
976	2947	69
977	2949	66
978	2951	63
979	2954	60
980	2956	57
981	2958	54
982	2961	51
983	2963	48
984	2965	45
985	2968	42
986	2970	39
987	2972	36
988	2975	33
989	2977	30
990	2979	27
991	2981	24
992	2983	21
993	2986	18
994	2988	15
995	2990	12
996	2992	9
997	2994	6
998	2996	2
999	2998	0
