iter	RMSE
347	886.2530346
348	885.3415994
349	884.4660973
350	883.8357036
351	882.9898198
352	882.2882404
353	881.5711463
354	880.6804717
355	879.9167749
356	878.5662656
357	877.550755
358	876.756837
359	875.8806918
360	874.2181437
361	873.210603
362	872.5427736
363	871.7181711
364	871.2608501
365	870.7219791
366	870.6469381
367	869.5587641
368	868.6943578
369	868.6210919
370	867.6364564
371	866.8334139
372	865.8368307
373	864.9304746
374	864.1415644
375	863.3253352
376	862.4262752
377	861.8682186
378	860.9677485
379	859.8888591
380	859.1901296
381	858.2101745
382	857.5861748
383	856.6026648
384	855.9616669
385	855.3959754
386	854.2707297
387	853.3879168
388	852.8780064
389	852.1775634
390	851.7707108
391	851.1855849
392	850.453853
393	849.8165672
394	849.3465002
395	849.1062807
396	848.4457539
397	847.8790058
398	847.4074731
399	846.776505
400	845.8557932
401	845.1640571
402	844.0601936
403	843.5216996
404	842.9220209
405	842.3773753
406	841.7308099
407	841.1902202
408	840.2050281
409	839.423415
410	839.1937418
411	838.9730355
412	838.4144737
413	837.6955987
414	836.9921155
415	836.3959276
416	835.6323613
417	835.1149711
418	834.5130895
419	834.0452365
420	833.2015262
421	832.5475684
422	831.8927858
423	830.9761366
424	830.1527286
425	829.2488904
426	828.7927406
427	828.0106648
428	827.4910122
429	827.2849418
430	826.487801
431	825.9342855
432	825.4677577
433	824.887732
434	824.3997114
435	823.587376
436	823.3930801
437	822.7160364
438	822.3294336
439	821.4833135
440	820.839418
441	820.5334243
442	820.2629042
443	819.4621767
444	818.9690347
445	818.3244061
446	817.4995748
447	816.6386235
448	816.3841599
449	815.9225408
450	815.6497519
451	815.2270014
452	814.9910299
453	814.8188393
454	814.2550364
455	813.8857937
456	813.1737679
457	812.9659211
458	812.8025652
459	812.0232213
460	811.8047071
461	811.48725
462	811.3578826
463	810.813482
464	810.7705752
465	810.264996
466	809.4070177
467	808.8823777
468	808.8408114
469	808.3649069
470	808.3245959
471	808.1318308
472	807.2883919
473	806.7349358
474	806.323207
475	806.1846279
476	805.8100174
477	805.1388683
478	804.8974184
479	803.913595
480	803.7268056
481	803.4337817
482	802.8574077
483	802.3274281
484	801.9092405
485	801.7487635
486	801.5764567
487	801.2748318
488	801.1520841
489	800.7765724
490	800.4538228
491	800.3354749
492	800.234797
493	799.6055655
494	799.1454986
495	798.6718261
496	798.3637474
497	797.7765668
498	797.0139687
499	796.3140694
500	795.6903955
501	795.5377828
502	795.1056959
503	794.5204076
504	794.0611329
505	793.6671473
506	793.3291433
507	792.8781097
508	791.9500758
509	791.6641551
510	791.6311293
511	791.1854288
512	790.7589799
513	790.5915776
514	789.9514303
515	789.327419
516	789.1588249
517	788.7323932
518	788.2725444
519	787.8148703
520	787.1821939
521	786.7926712
522	786.3404171
523	785.6048233
524	785.1632047
525	784.4484301
526	783.93156
527	783.5338869
528	783.1930864
529	782.5896253
530	782.5576824
531	782.5271828
532	782.1685858
533	781.7508299
534	781.2477988
535	780.7510289
536	780.2892727
537	779.8109233
538	779.4608455
539	779.1095434
540	778.7786232
541	778.2529935
542	777.8947548
543	777.8655226
544	777.620195
545	777.3846342
546	777.1161751
547	776.7904706
548	776.4713382
549	776.4424901
550	776.2253415
551	775.8621018
552	775.6740578
553	775.0500662
554	774.6005952
555	774.0493642
556	773.9978696
557	773.7790708
558	773.5282284
559	773.4789096
560	773.4299955
561	773.2495905
562	772.925215
563	772.8974301
564	772.5109123
565	771.8311894
566	771.4442101
567	771.3564991
568	770.8013935
569	770.5764453
570	770.5290093
571	770.4827977
572	770.0672921
573	769.5788058
574	769.2433573
575	768.8007849
576	768.384475
577	768.3383888
578	768.1960594
579	767.75402
580	767.7091611
581	767.3962292
582	766.9693448
583	766.4768968
584	765.8867213
585	765.7768507
586	765.4767822
587	765.2750814
588	765.2481603
589	764.7647894
590	764.4320199
591	764.1097939
592	764.0830439
593	763.6279716
594	763.4069108
595	763.1394261
596	762.8071031
597	762.4250112
598	762.069633
599	761.5971982
600	761.1238069
601	760.6204835
602	760.3200805
603	760.0253587
604	759.9813351
605	759.5120286
606	759.4735862
607	759.1424106
608	759.1165828
609	758.7798011
610	758.2649785
611	758.066204
612	757.5961257
613	757.1294732
614	756.7908444
615	756.3437041
616	755.9910271
617	755.9499467
618	755.9100419
619	755.3930509
620	755.0534526
621	754.5337555
622	754.0035527
623	753.5402445
624	753.2560039
625	752.8150833
626	752.6306226
627	752.2499852
628	752.2105309
629	751.9759168
630	751.9318492
631	751.6534534
632	751.5454279
633	751.2411773
634	750.9603198
635	750.6660218
636	750.4567937
637	750.1957823
638	749.9994505
639	749.7231098
640	749.6978444
641	749.079543
642	748.8520386
643	748.2149982
644	748.0074381
645	747.9732954
646	747.4985788
647	747.1249162
648	746.9277021
649	746.5600274
650	746.526838
651	746.2932267
652	746.0979031
653	746.0655781
654	745.7198128
655	745.388526
656	744.8643796
657	744.8329253
658	744.4659799
659	743.9007476
660	743.8612278
661	743.5974722
662	743.5675644
663	743.1790913
664	742.8458713
665	742.4386995
666	742.0706005
667	741.84843
668	741.5708169
669	741.3714281
670	741.3395764
671	740.8500645
672	740.8196766
673	740.591804
674	740.0398045
675	740.0048693
676	739.5593612
677	739.2952883
678	739.272041
679	738.9794913
680	738.9174376
681	738.889329
682	738.8562266
683	738.4590519
684	738.2416108
685	737.8987976
686	737.6961637
687	737.3956609
688	737.3677421
689	737.3418622
690	736.9586101
691	736.58887
692	736.3376197
693	736.3139282
694	736.2884499
695	736.2637084
696	735.8907899
697	735.3353384
698	734.6095722
699	734.2701486
700	734.0891939
701	733.8492342
702	733.5046149
703	733.3034342
704	733.2797085
705	732.537411
706	732.2177885
707	731.9086727
708	731.8854461
709	731.6032006
710	731.1719116
711	731.1494818
712	730.7709905
713	730.2721157
714	730.0423082
715	729.750841
716	729.4331158
717	729.1145765
718	729.0931341
719	729.0722712
720	728.8281573
721	728.6208007
722	728.4679987
723	728.4471301
724	728.0928774
725	727.7744675
726	727.7546415
727	727.7347778
728	727.3661955
729	726.9149165
730	726.6991726
731	726.4009353
732	726.1417997
733	726.1233281
734	725.8422595
735	725.7894602
736	725.6788445
737	725.6610073
738	725.2379385
739	725.2214667
740	725.2044259
741	724.9412865
742	724.4998203
743	724.3316088
744	724.085748
745	723.5720135
746	723.4027021
747	723.0590965
748	723.0397843
749	723.0217193
750	722.562275
751	722.1830223
752	721.6594069
753	721.6433129
754	721.2591836
755	721.2413603
756	721.2261559
757	721.2113948
758	720.9682611
759	720.9538762
760	720.8198358
761	720.8063753
762	720.5248098
763	720.1777317
764	719.884364
765	719.6955597
766	719.6810769
767	719.4519891
768	718.9972506
769	718.5405975
770	717.9342116
771	717.7050486
772	717.2761479
773	717.1093749
774	716.791136
775	716.5521146
776	716.2255894
777	715.9985889
778	715.6080547
779	715.1989017
780	715.0253366
781	714.5806086
782	714.4434478
783	714.2982118
784	714.1232311
785	713.7866669
786	713.3271191
787	713.1783134
788	712.9883496
789	712.4730014
790	712.1834642
791	711.7797281
792	711.599494
793	711.4631017
794	711.3314286
795	711.1348328
796	710.8173922
797	710.5637613
798	710.0847936
799	709.7845897
800	709.3438819
801	709.2388266
802	709.0469988
803	708.6978461
804	708.5078428
805	708.3702548
806	708.2367572
807	707.9639794
808	707.6383733
809	707.3370991
810	706.9962422
811	706.6616086
812	706.2294363
813	706.095404
814	705.6865661
815	705.4215214
816	705.1543393
817	705.0740639
818	704.9962762
819	704.7297527
820	704.5838399
821	704.3326729
822	703.9229829
823	703.7128243
824	703.2023402
825	703.1272781
826	703.0545039
827	702.650471
828	702.4288591
829	702.0699954
830	701.7716995
831	701.5129615
832	701.4436675
833	701.063059
834	700.9222296
835	700.6517843
836	700.4440234
837	700.2829413
838	700.1323356
839	699.8649213
840	699.6947343
841	699.621023
842	699.5226365
843	699.3216123
844	698.9445879
845	698.7111508
846	698.4613639
847	698.3590112
848	698.1100754
849	697.8891252
850	697.5359571
851	697.3214025
852	697.2143438
853	696.8814652
854	696.6941166
855	696.5377311
856	696.2169594
857	696.0342577
858	695.7170853
859	695.3409132
860	695.1089884
861	694.9852129
862	694.9171484
863	694.6317136
864	694.3628336
865	694.0861839
866	693.9228023
867	693.7396806
868	693.4368055
869	693.1486185
870	693.0448818
871	692.7030604
872	692.5143701
873	692.3639082
874	692.1646221
875	692.0325223
876	691.9677838
877	691.7838073
878	691.7183877
879	691.4896304
880	691.1975037
881	691.0023783
882	690.6458469
883	690.4097651
884	690.0979063
885	689.8702902
886	689.68404
887	689.4984114
888	689.4381134
889	689.3492016
890	688.8257996
891	688.511048
892	688.4154868
893	688.252686
894	687.8375538
895	687.5784403
896	687.4592189
897	687.0855366
898	686.7478387
899	686.4567173
900	686.3066511
901	686.1729709
902	685.9421901
903	685.8254852
904	685.4999812
905	684.9324919
906	684.7291748
907	684.5584906
908	684.4107207
909	684.1782942
910	684.1671818
911	683.6818125
912	683.5620441
913	683.5275933
914	683.4450334
915	683.3556004
916	682.8578856
917	682.7050877
918	682.4801899
919	682.3517456
920	682.2775702
921	682.1354461
922	681.9913916
923	681.9308543
924	681.7595142
925	681.4134078
926	681.2579152
927	681.135298
928	680.9171887
929	680.9076325
930	680.8323087
931	680.5513893
932	680.4433296
933	680.320155
934	680.2238182
935	679.9513619
936	679.6810386
937	679.5448136
938	679.3612174
939	679.1559499
940	679.0253444
941	678.7973942
942	678.7254244
943	678.5619459
944	678.3528589
945	678.1859571
946	677.9120115
947	677.6938375
948	677.3932446
949	677.2680507
950	677.2582359
951	676.7904331
952	676.543597
953	676.404396
954	676.1803342
955	675.9636285
956	675.765023
957	675.6490451
958	675.6397777
959	675.4594336
960	675.4504111
961	675.2894254
962	675.1271948
963	675.0380457
964	674.9594427
965	674.9311209
966	674.6001507
967	674.3215258
968	673.8644291
969	673.6977855
970	673.4757221
971	673.2395961
972	673.0366523
973	672.9871932
974	672.738991
975	672.6132143
976	672.6047661
977	672.438181
978	672.0091279
979	671.8944924
980	671.638272
981	671.627324
982	671.4736037
983	671.1248865
984	671.0370987
985	670.9232251
986	670.8360179
987	670.7899431
988	670.3595883
989	670.1704585
990	670.0525238
991	670.0447786
992	669.7562047
993	669.3569592
994	668.9802659
995	668.9724216
996	668.7830992
997	668.5979206
998	668.4117305
999	668.2680203
